enz_0,A._hypogaea_l._AhFatA
enz_1,Arabidopsis_thaliana
enz_2,Auxenochlorella_protothecoides
enz_3,Brassica_juncea_BjFatB1
enz_4,Brassica_juncea_BjFatB2
enz_5,Brassica_juncea_BjFatB3
enz_6,Brassica_juncea_BjFatB4
enz_7,Cinnamomum_camphorum
enz_8,Cocos_nucifera_CnFatB1
enz_9,Cocos_nucifera_CnFatB2
enz_10,Cocos_nucifera_CnFatB3
enz_11,Cuphea_aequipetala_Ca1FatB1
enz_12,Cuphea_aequipetala_Ca1FatB2
enz_13,Cuphea_avigera_Ca2FatB2
enz_14,Cuphea_carthagenesis_CcFatB
enz_15,Cuphea_decandra_Cd1FatB1
enz_16,Cuphea_hookerianashort_ChFatB2
enz_17,Cuphea_hookeriana_ChFatB1
enz_18,Cuphea_leptopoda_Cl1FatB1
enz_19,Cuphea_leptopoda_Cl2FatB2
enz_20,Cuphea_leptopoda_Cl3FatB1
enz_21,Cuphea_leptopoda_Cl4FatB1
enz_22,Cuphea_palustrislong_CpFatB2
enz_23,Cuphea_palustris_CpFatB1
enz_24,Cuphea_paucipetala_Cp1FatB1
enz_25,Cuphea_viscosissima_CvFatB1
enz_26,Cuphea_viscosissima_CvFatB2
enz_27,Cuphea_viscosissima_CvFatB3
enz_28,Cuphea_viscosisssima_CvB2MT1
enz_29,Cuphea_viscosisssima_CvB2MT10
enz_30,Cuphea_viscosisssima_CvB2MT11
enz_31,Cuphea_viscosisssima_CvB2MT12
enz_32,Cuphea_viscosisssima_CvB2MT13
enz_33,Cuphea_viscosisssima_CvB2MT14
enz_34,Cuphea_viscosisssima_CvB2MT15
enz_35,Cuphea_viscosisssima_CvB2MT16
enz_36,Cuphea_viscosisssima_CvB2MT17
enz_37,Cuphea_viscosisssima_CvB2MT18
enz_38,Cuphea_viscosisssima_CvB2MT19
enz_39,Cuphea_viscosisssima_CvB2MT2
enz_40,Cuphea_viscosisssima_CvB2MT20
enz_41,Cuphea_viscosisssima_CvB2MT21
enz_42,Cuphea_viscosisssima_CvB2MT22
enz_43,Cuphea_viscosisssima_CvB2MT23
enz_44,Cuphea_viscosisssima_CvB2MT24
enz_45,Cuphea_viscosisssima_CvB2MT25
enz_46,Cuphea_viscosisssima_CvB2MT26
enz_47,Cuphea_viscosisssima_CvB2MT27
enz_48,Cuphea_viscosisssima_CvB2MT28
enz_49,Cuphea_viscosisssima_CvB2MT29
enz_50,Cuphea_viscosisssima_CvB2MT3
enz_51,Cuphea_viscosisssima_CvB2MT30
enz_52,Cuphea_viscosisssima_CvB2MT31
enz_53,Cuphea_viscosisssima_CvB2MT32
enz_54,Cuphea_viscosisssima_CvB2MT33
enz_55,Cuphea_viscosisssima_CvB2MT34
enz_56,Cuphea_viscosisssima_CvB2MT35
enz_57,Cuphea_viscosisssima_CvB2MT36
enz_58,Cuphea_viscosisssima_CvB2MT37
enz_59,Cuphea_viscosisssima_CvB2MT38
enz_60,Cuphea_viscosisssima_CvB2MT4
enz_61,Cuphea_viscosisssima_CvB2MT40
enz_62,Cuphea_viscosisssima_CvB2MT41
enz_63,Cuphea_viscosisssima_CvB2MT42
enz_64,Cuphea_viscosisssima_CvB2MT43
enz_65,Cuphea_viscosisssima_CvB2MT44
enz_66,Cuphea_viscosisssima_CvB2MT45
enz_67,Cuphea_viscosisssima_CvB2MT47
enz_68,Cuphea_viscosisssima_CvB2MT48
enz_69,Cuphea_viscosisssima_CvB2MT5
enz_70,Cuphea_viscosisssima_CvB2MT6
enz_71,Cuphea_viscosisssima_CvB2MT7
enz_72,Cuphea_viscosisssima_CvB2MT8
enz_73,Cuphea_viscosisssima_CvB2MT9
enz_74,Cuphea_viscosisssima_CvFatB1
enz_75,Cuphea_viscosisssima_CvFatB2
enz_76,Diploknema_butyracea
enz_77,Elaeis_guineensis
enz_78,Gossypium_hirsutum
enz_79,Helianthus_Annuus_HaFatA1
enz_80,Helianthus_Annuus_HaFatB1
enz_81,Iris_germanica_1
enz_82,Iris_germanica_2
enz_83,Jatropha_curcas
enz_84,Lindera_communis
enz_85,Micromonas_pusilla
enz_86,Physcomitrella_patens
enz_87,Prunus_sibirica_L._Siberian
enz_88,Ricinus_communis
enz_89,rTE12
enz_90,rTE15
enz_91,rTE16
enz_92,rTE20
enz_93,rTE24
enz_94,rTE28
enz_95,rTE3
enz_96,rTE32
enz_97,rTE36
enz_98,rTE4
enz_99,rTE40
enz_100,rTE44
enz_101,rTE48
enz_102,rTE51
enz_103,rTE52
enz_104,rTE56
enz_105,rTE60
enz_106,rTE8
enz_107,Sorghum_bicolor_1
enz_108,Sorghum_bicolor_2
enz_109,Sorghum_bicolor_4
enz_110,UcFatB1197M-M199H
enz_111,UcFatB1R197M-M199H-T231K
enz_112,UcFatB1T231K
enz_113,Ulmus_americana
enz_114,Umbellularia_californica_UcFatB1
enz_115,Umbellularia_californica_UcFatB2
